conceptType,conceptUri,skillType,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,Haskell,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,sport and exercise medicine,"sports injury treatment
sports medicine
exercise and sports medicine
sports injury medicine
sports and exercise medicine",Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,Incremental development,,The incremental development model is a methodology to design software systems and applications.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,use of special equipment for daily activities,,"The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sawing techniques,"sawing technologies
sawing methods
sawing technique
sawing procedures
sawing tech",Various sawing techniques for using manual as well as electric saws.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,cold vulcanisation,"using vulcanising solution
tyre repair method
cold vulcanization
use of vulcanising solution
tyre repair technique","Technique used to repair defective tyres, especially bicycle tyres, and consisting in grinding the area around the tear, applying a vulcanising solution and fixing a patch to seal the tear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,types of barley,"type of barley
a type of barley
barley types
kinds of barley
strains of barley
varieties of barley
categories of barley","The different types of barley; their characteristics, and quality."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop 5.0.0","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,knowledge,Absorb (learning management systems),,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,knowledge,cosmetics ingredients,"cosmetics additives
cosmetics elements
a cosmetics ingredient
cosmetics ingredient
ingredients of cosmetics
cosmetics raw materials",A variety of sources cosmetics are composed of ranging from crushed insects to rust.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,knowledge,human dynamics as part of hospitality security,"human dynamics as part of security in hospitality
hospitality security human dynamics
human behaviour as part of a security programme
behavioural insight for customers' security",The characteristics of human behaviour and human interaction and dynamics to ensure their security in hospitality establishment.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,knowledge,medico-biological and medical sciences related to dentistry,"dentistry medico-biological and medical sciences
medico-biological and medical principles relevant for dentistry
medico-biological and medical aspects of dentistry
denistry-related medico-biological and medical sciences","The behavioral component and the social environment  which impact the health of humans, in respect to dentistry."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,knowledge,biomedical science,"principles of natural sciences applied to medicine
biomedical sciences",The principles of the natural sciences applied to medicine. Medical sciences such as medical microbiology and clinical virology apply biology principles for medical knowledge and invention.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,knowledge,human factors regarding safety,"human factors regarding health and safety
human health and safety considerations
human health and safety implications
human safety implications
human safety factors
human safety considerations",The considerations and implications for human safety.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246,knowledge,types of digesters,"type of digester
varieties of digesters
sorts of digesters
kinds of digesters
categories of digesters","This includes the stationary and rotary steam digesters, which cook wood chips in an acid solution to make pulp for use in the manufacture of paper."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,knowledge,geomatics,the study of Earth’s surface,"The scientific discipline that studies gathering, storing, and processing geographic information."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,knowledge,contamination exposure regulations,"regulations about contaminated materials
regulations concerning contamination exposure
regulations about contamination exposure
regulations regarding contamination exposure
regulations concerning contaminated materials
regulations regarding contaminated materials","The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimisation of further exposure, quarantine, and treatment of the exposed persons."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,knowledge,Maltego,,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,knowledge,styles of boxes,"kinds of boxes
sorts of boxes
types of boxes
shapes of boxes
style of box
box styles",Different styles of boxes in Europe. These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO). The styles are more an example of complicated and special box designs.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02bf9522-bd6e-4482-be03-1827483be21a,knowledge,first aid for animals,"basic 1st aid for animals
basic animal emergency treatment
aims of animal first aid
basic knowledge of first aid provision to animals
basic animal first aid
principles of first aid for animals
animal first aid principles
characteristics of animal emergency treatment
basic emergency treatment for animals","Animal emergency treatment, including the principles and aims of the provision of first aid treatment to animals."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,knowledge,circuit diagrams,"electrical circuit diagrams
electronic schematics
elementary diagrams
circuit blueprints
diagrams of circuits
electronics schematics
circuit schematics
electrical diagrams","Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e1ca57-0715-438b-886d-f0f938ac3efc,knowledge,sand blasting machine parts,"sand blasting machine pieces
sand blasting machine components
sand blasting machine units
blasting abrasive machine components
sand blasting machine elements
blasting abrasive machine units
blasting abrasive machine elements
blasting abrasive machine pieces","The various parts of a type of sand blasting machinery, their qualities and applications, such as a treadle, blast nozzle, dust collecter, filter, abrasive materials and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03006fd3-254f-44bc-aa8f-dfe1c727463e,knowledge,cardiovascular system,"anatomy and physiology of the heart and vascular system
cardiovascular anatomy and physiology
cardiovascular systems","The cardiovascular system including the anatomy, physiology, and pathophysiology of the circulatory system in health and disease."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,knowledge,biosecurity related to animals,"bio-security related to animals
biosecurity related to an animal
awareness of hygiene and security measures related to animals
biosecurity measures when working with animals","Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/032b0bed-22b1-456b-8009-91e6b838fe45,knowledge,geological mapping,"geological map
geologic mapping",The technique used to create maps that clearly illustrate the geological features and rock layers of an area that may be useful for mining projects and geological explorations.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,knowledge,Erlang,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/035afc40-e8fc-448f-b287-1a973fb5aa93,knowledge,manufacturing of taps and valves,"production of industrial sanitary equipment
assembly of industrial sanitary equipment
construction of taps and valves
fabrication of taps and valves
production of taps and valves
fabrication of industrial sanitary equipment
construction of industrial sanitary equipment
assembly of taps and valves","The manufacture of industrial, sanitary or heating taps and valves."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/038a6d0f-787f-4f71-aac6-bd54e16c57cf,knowledge,history of tobacco,"history regarding tobacco
norms of tobacco
the history of tobacco
traditions of tobacco
yesteryear of tobacco
tobacco history
past of tobacco","The different stages and developments of tobacco cultivation, cultural particularities and trading through time. "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d8e93a-861a-45d3-a2d6-80781d6af1c9,knowledge,hair cutting techniques,"hair cutting procedures
haircut technique
hair cutting methods
haircut techniques
hair cutting approaches
hair cutting technique","Various techniques that can be used in the process of cutting a person's hair, such as layering, slicing, and face framing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,knowledge,criminology,"research into law breaking behaviour
study of criminal behaviour
study of law breaking behaviour
investigation of criminal behaviour
investigation of law breaking behaviour
research into criminal behaviour","The study of criminal behaviour, such as its causes and nature, its consequences, and control and prevention methods."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,knowledge,information structure,,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,knowledge,photogrammetry,photographic surveying,"The science of taking photographs from at least two different locations in order to measure land surfaces to be represented in a map, 3D model or physical model."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04455dce-a796-4a1f-bd07-ad42bdbda180,knowledge,forensic pathology,"legal procedures of forensic pathology
legal procedures to determine cause of death in criminal cases
procedures and techniques of forensic pathology","The legal procedures and techniques used to determine the cause of death of an individual, as part of an investigation of criminal law cases."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0449bf39-a288-4ecc-823a-3d194be5e932,knowledge,techniques of blood-sampling,"methods of blood-sampling
techniques of blood sampling
blood sampling techniques
blood-sampling techniques
blood-sampling methods","The appropriate techniques for the collection of blood samples for laboratory work purposes, depending on the group of people targeted such as children or elderly."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,knowledge,hygiene in a health care setting,"hygiene procedures in hospitals or clinics
hygienic environment in healthcare
hygiene in healthcare setting
hospital hygiene",The procedures related to maintaining a hygienic environment within a health care setting such as hospitals and clinics. It can range from hand washing to cleaning and disinfection of medical equipment used and infection control methods.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049115cd-da38-499e-8544-4afdb6a4abee,knowledge,monasticism,"living as a hermit
spiritual lifestyle
living as a monk
living as a nun
religious lifestyle
hermit lifestyle",The devotion of one's life to spirituality and the rejection of worldly pursuits such as material goods.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04b9627c-80a2-4723-9f07-46e76e11d09a,knowledge,tramway regulations,"regulations applied to tramways
regulations governing tram network
tram line regulations
regulations governing tram operations
tram grid regulations
legal regulations for tramway operations
regulations governing operation of trams
tram network regulations
legal requirements of tramway operations
regulations applying to tramways",Know the regulations governing tramways and apply these regulations in the daily operations of tram transportation. Ensure that standards are met in relation to safeguarding the well-being of passengers and the tramway company.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cda8e8-e06b-4c91-bbb5-27414dc1cf14,knowledge,embargo regulations,"regulating an embargo
embargo legislation
embargo rules
embargo regulation
embargo laws
embargo statutes","The national, international and foreign sanctions and embargo regulations, e.g. Council Regulation (EU) No 961/2010."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,knowledge,SAS language,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0524a62d-96bb-45f5-b7c6-baacbef31af9,knowledge,fish grading,"fish grading techniques
size of fish
fish grading methods
typology of fish
types of fish
techniques of fish grading
methods of fish grading
condition of fish
quality of fish
characteristics of fish","The method of how fish are graded according to their different characteristics: specification, size, quality and condition."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,knowledge,continuous improvement philosophies,"continuous improvement strategies
a continuous improvement philosophy
continuous improvement philosophy
continuous improvement policies
continuous improvement systems
continuous improvement processes","Underlying ideas of quality management systems. Implementation process of lean manufacturing, Kanban, Kaizen, Total Quality Management (TQM) and other continuous improvement systems."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05515233-5b76-481e-af0c-369142c2f86b,knowledge,otorhinolaryngologic conditions,"pathogenesis of otorhinolaryngologic conditions
ear, nose and throat conditions
diagnosis of otorhinolaryngologic conditions
otolaryngologic condition
otorhinolaryngologic condition
ENT conditions
management of otorhinolaryngologic conditions","The pathogenesis, diagnosis, and management related to the otorhinolaryngologic conditions."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0590ae63-2218-4ef9-9753-4393487772b3,knowledge,materials in porcelain manufacturing,"porcelain manufacturing materials
flint
china clay
materials for porcelain manufacturing
materials used in porcelain manufacturing
alumina
feldspar","Characteristics and properties of the different raw materials such as china clay, ball clay, alumina, flint and feldspar used for the production of household ware and decorative items."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/059b2748-e1df-43d2-8a08-0331fb8d0ddf,knowledge,types of cargo,"classifications of cargo
kinds of cargo
freight types
classifications of freight
categories of freight
forms of freight
forms of cargo
cargo types
categories of cargo
classes of freight
types of freight
classes of cargo","Distinguish different types of cargo e.g. bulk cargo, liquid bulk cargo and heavy materials."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/059d0c45-3ad3-440e-a20d-63ecbece9336,knowledge,knitting machine technology,"technology for knitting machinery
knitted fabric production technology
technology for the production of knitted fabric
knitting machinery technology
technology for knitting machines
knitted fabric machinery technology",Manufacturing technologies which use loop forming techniques to convert yarns into fabrics in order to form knitted fabrics.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,knowledge,CryEngine,"CryEngine 2
CryEngine 3
CryEngine 1","The game engine CryEngine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05caf274-8edf-42d9-8de3-c350f6e3c703,knowledge,extrusion processes,"displacement and removal measures
displacement and removal implementation
extrusion procedures
extrusion implementation
displacement and removal procedures
extrusion measures
extrusion operations
displacement and removal operations","The various processes used for extrusion, the creation of objects of a cross-sectional nature, in metalworking, such as direct extrusion, indirect extrusion, hydrostatic extrusion, hot extrusion, warm extrusion, cold extrusion, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e432cf-ac9d-4596-8b1b-2cea064e801e,knowledge,typology of meat parts,"typology of a meat part
types of meat parts
varieties of meat parts
kinds of meat parts
meat parts typology
categories of meat parts","Typology of meat parts in terms of nutrients, handling processes, way of cutting and managing, and preparations and ingredients that potentiate the taste."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,knowledge,solar energy,"energy from the sun
STE
renewable solar
solar power
sun energy
energy from sunlight
solar thermal energy","The energy which originates from light and heat from the sun, and which can be harnessed and used as a renewable source of energy using different technologies, such as photovoltaics (PV) for electricity production and solar thermal energy (STE) for thermal energy generation."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e975d0-bbdb-4822-8da9-3153bfcfb52b,knowledge,eating disorders,"types of eating disorders
anorexia, bulimia and binge-eating disorders
eating disorder","The various types, pathophysiology and psychology of eating disorders such as anorexia, bulimia, binge-eating disorders and how they can be treated."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05fc6f8d-639c-4329-a6de-dfdd800ed091,knowledge,customer insight,"customer understanding
customers insight
customer insights
customer's insight","The marketing concept referring to the deep understanding of the customer's motivations, behaviours, beliefs, preferences, and values that help understand the reasons why the way they do. This information is then useful for commercial purposes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05fd5f15-5bde-472d-9e1c-5aaa4f59c2a8,knowledge,crimping,"join metal
metal crimping
crimping of metal
crimping metal
joining of metal
metal joining",The joining of two pieces of metal together by deforming one or both so they fit into each other.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/064018ab-0192-441b-92a5-43c2328e9be2,knowledge,electrical mine machinery manuals,"electrical mine machinery manuals
electrical circuit diagrams
electrical mine machine manuals
manuals for electrical equipment
schematic equipment manuals
electrical mining machine manuals
electrical equipment manuals
electrical mining machinery manuals","Understand equipment manuals, including schematic drawings and electric circuit diagrams."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/064493f5-894a-4346-a2dd-833da0fbe43f,knowledge,footwear finishing techniques,"footwear, techniques for finishing
footwear finishing processes and technologies
finishing techniques for footwear
footwear finishing procedures
finishing processes and technologies for footwear
finishing techniques for footwear production","The related machinery, tools, chemicals and mechanical finishing procedures applied to footwear manufacturing."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/066ea964-3f3b-42f2-b6a6-38d0726dbcc1,knowledge,surgical instruments,"surgical apparatus
a surgical instrument
surgical equipment
surgical devices
surgical implements
surgical instrument","Series of instruments, such as cutting tools, clamps, distractors and forceps, used for medical interventions aiming to repair ruptured tissues, treat injuries or diseases, and ameliorate bodily functions."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/069dd599-cc57-451f-b7c4-b93d01faa2e8,knowledge,molecular and cellular immunology,"study of molecular and cellular immune system
function of molecular and cellular immune system
function of molecular and cellular immune systems
development of molecular and cellular immune system
study of molecular and cellular immune systems
development of molecular and cellular immune systems",The interactions at molecular level that trigger a response from the immune system.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06bd47bc-d9f3-4517-8e34-c55c2e81f8c2,knowledge,workplace sanitation,"workplace hygiene
workplace health
workplace cleanliness","The importance of a clean, sanitary workspace for example through use of hand disinfectant and sanitizer, in order to minimise infection risk between colleagues or when working with children."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06d63a6c-3786-48ae-98f6-71acbe49958c,knowledge,wet tumbling,"damp tumbling
saturated tumbling
liquid deburring and polishing processes
moist deburring and polishing processes
saturated deburring and polishing processes
liquid tumbling
moist tumbling
damp deburring and polishing processes","Process of tumbling, employing water and other agents inside a wet tumbling barrel to clean and remove burrs from metal parts and stones in order to smoothen them."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,knowledge,keywords in digital content,,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,knowledge,legal studies,"the study of law
law studies","The study of law; the situations and causes that elicit responses from institutions in the form of laws and regulations. Some areas of law are civil, business, criminal, and property law."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07022138-d9c9-48cb-81da-6a18cba5c3be,knowledge,theoretical lexicography,"the study of lexicon
lexicon studies","The academic field dealing with the syntagmatic, paradigmatic, and semantic relationships within the vocabulary of a certain language."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/071c7f1d-f659-4b96-a222-b21012297f3b,knowledge,energy market,"energy trading market
market for energy
energy market trends
trading energy
energy trading
trading of energy","The trends and major driving factors in the energy trading market, energy trades methodologies and practice, and the identification of the major stakeholders in the energy sector."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/073a58a6-08b5-4727-abd0-890ce615af77,knowledge,protection from natural elements,"defence against natural elements
protection from the elements
shelter from natural elements","Forces of nature, such as weather patterns and seasonal conditions, their characteristics and any means of protection against them."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07469451-ae47-49af-98ea-99f8ef9d283c,knowledge,general principles of food law,"general principles of food legislation
general principles of food rule
general principles of food laws
general principle of food law
general principles of food statutes
general principles of food regulation
food law general principles",The national and international legal rules and requirements applied in the food industry.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,knowledge,mergers and acquisitions,"acquisitions and mergers
transferring ownership or combining businesses
transferring ownership or combining companies","The process of joining together separate companies and relatively equal in size, and the purchase of a smaller company by a bigger one. The financial deals, the legal implications, and the consolidation of financial records and statements at the end of the fiscal year."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07627684-2705-422f-9b31-346171eac852,knowledge,horse racing regulation,"horse race regulation
horse racing managing
horse racing regulations
regulations for horse racing
horse racing monitoring
horse racing policing",Regulations related to the maintenace of the health and welfare of the racehorse and rider. This means that the trainers and jockeys meet certain requirements and that horse races run properly and fairly.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,knowledge,captioning software,"caption software
captioning plugin
captioning program","The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07862bb1-835a-4f14-9245-17717dc550a8,knowledge,technical equipment for crop production,"servicing requirements for technical installations, equipment and machines for crop production
maintenance regime for technical installations, equipment and machines for crop production
maintenance regime for technical equipment for crop production
methods of adjusting technical equipment for crop production
methods of adjusting technical installations, equipment and machines for crop production
servicing requirements for technical equipment for crop production","Methods for service, maintaining and adjusting of technical equipment, machines and instatallations used for crop production"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,knowledge,safe use of pesticides,"insure pesticides are used safely
safe pesticides use
safe use of pesticide
safe application of pesticides","Precautions and regulations concerning the transport, storage and handling of chemical substances that exterminate pests."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07aa096a-bb4e-4380-b9f2-97fd70da2a82,knowledge,glass tempering,"tempering of glass
heat treating glass
heat treatment of glass
temper glass
glass tempering technique
tempering glass
heat-treat glass",Technique of treating glass with high temperatures to increase its durability and safety.
